               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.033004,            0.040196,            0.012612,              0.9114,             0.84003,             0.92624,             0.72617,            0.023221,            0.016393,           0.0035047,            0.008664,            0.008664,            0.008664
                 136,            0.033069,            0.039218,            0.012631,             0.90611,             0.84572,             0.92657,             0.72703,            0.023186,             0.01637,           0.0034819,           0.0086452,           0.0086452,           0.0086452
                 137,            0.033031,            0.040153,            0.012825,             0.90986,             0.84479,             0.92763,             0.72815,            0.023148,            0.016336,            0.003456,           0.0086263,           0.0086263,           0.0086263
                 138,            0.032944,             0.03983,            0.012454,             0.91338,             0.84445,             0.92819,             0.72828,            0.023101,            0.016294,           0.0034231,           0.0086073,           0.0086073,           0.0086073
                 139,            0.032861,            0.038837,            0.012498,             0.92034,             0.83856,             0.92881,             0.72949,            0.023058,            0.016249,           0.0033954,           0.0085882,           0.0085882,           0.0085882
                 140,            0.032812,            0.039194,            0.012576,             0.91535,             0.84387,              0.9296,             0.73031,            0.023006,            0.016207,           0.0033775,            0.008569,            0.008569,            0.008569
                 141,             0.03311,            0.040232,            0.012392,             0.92216,             0.84027,             0.92978,             0.73103,             0.02296,             0.01618,            0.003353,           0.0085497,           0.0085497,           0.0085497
                 142,              0.0325,            0.039582,            0.012248,             0.92636,             0.83717,             0.93016,             0.73218,            0.022918,            0.016141,           0.0033254,           0.0085303,           0.0085303,           0.0085303
                 143,            0.032911,             0.03983,            0.012279,              0.9347,             0.83229,             0.93077,             0.73323,            0.022864,            0.016104,           0.0032975,           0.0085108,           0.0085108,           0.0085108
                 144,            0.033023,            0.039303,             0.01243,             0.93163,             0.83605,             0.93119,             0.73405,            0.022817,            0.016073,           0.0032781,           0.0084912,           0.0084912,           0.0084912
                 145,            0.032369,            0.038473,            0.012353,             0.93854,             0.83284,             0.93197,             0.73492,            0.022769,            0.016043,           0.0032565,           0.0084714,           0.0084714,           0.0084714
                 146,            0.032982,            0.040205,             0.01264,             0.92567,             0.84432,             0.93248,             0.73534,            0.022728,            0.016007,           0.0032367,           0.0084516,           0.0084516,           0.0084516
                 147,            0.032444,            0.039268,            0.012151,             0.92005,             0.85116,             0.93327,             0.73623,            0.022692,            0.015983,           0.0032172,           0.0084317,           0.0084317,           0.0084317
                 148,            0.032612,            0.040238,            0.012236,              0.9225,             0.85055,             0.93341,             0.73692,            0.022661,            0.015967,           0.0032051,           0.0084117,           0.0084117,           0.0084117
                 149,            0.032673,            0.039226,             0.01213,              0.9216,             0.85085,              0.9339,             0.73772,            0.022617,            0.015928,           0.0031839,           0.0083916,           0.0083916,           0.0083916
                 150,            0.032245,            0.038683,            0.012011,             0.92404,             0.84953,             0.93402,             0.73857,            0.022582,            0.015897,           0.0031634,           0.0083714,           0.0083714,           0.0083714
                 151,            0.032039,            0.038507,            0.011689,             0.91808,             0.85544,             0.93446,             0.73922,            0.022538,            0.015863,           0.0031416,           0.0083511,           0.0083511,           0.0083511
                 152,            0.032541,             0.03903,            0.012319,             0.92485,             0.85094,             0.93507,             0.74021,            0.022498,            0.015829,           0.0031178,           0.0083308,           0.0083308,           0.0083308
                 153,            0.032338,            0.039062,            0.012021,             0.92565,             0.85144,             0.93553,             0.74111,            0.022455,            0.015798,            0.003098,           0.0083103,           0.0083103,           0.0083103
